"#ByMySide" 	42.6384261 12.674297
"Airport 24/7: Miami" 	25.7949789 -80.28672341095405
"Airport 24/7: Miami" 	25.7949789 -80.28672341095405
"Airport 24/7: Miami" 	25.7949789 -80.28672341095405
"Airport 24/7: Miami" 	25.7949789 -80.28672341095405
"Airport 24/7: Miami" 	25.7949789 -80.28672341095405
"Airport 24/7: Miami" 	25.7949789 -80.28672341095405
"Airport 24/7: Miami" 	25.7949789 -80.28672341095405
"Airport 24/7: Miami" 	25.7949789 -80.28672341095405
"Airport 24/7: Miami" 	25.7949789 -80.28672341095405
"Airport 24/7: Miami" 	25.7949789 -80.28672341095405
"Airport 24/7: Miami" 	25.7949789 -80.28672341095405
"Airport 24/7: Miami" 	25.7949789 -80.28672341095405
"Airport 24/7: Miami" 	25.7949789 -80.28672341095405
"Airport 24/7: Miami" 	25.7949789 -80.28672341095405
"Airport 24/7: Miami" 	25.7949789 -80.28672341095405
"Airport 24/7: Miami" 	25.7949789 -80.28672341095405
"Airport 24/7: Miami" 	25.7949789 -80.28672341095405
"Airport 24/7: Miami" 	25.7949789 -80.28672341095405
"Airport 24/7: Miami" 	25.7949789 -80.28672341095405
"Airport 24/7: Miami" 	25.7949789 -80.28672341095405
"Akasia Julia" 	37.564982549999996 126.93921080358436
"Al Kinaaa" 	33.8750629 35.843409
"Al Kinaaa" 	11.5024338 17.7578122
"Alaska Fish Wars" 	59.6440876 -151.5401477
"Alaska Fish Wars" 	59.6440876 -151.5401477
"Alaska Marshals" 	64.4459613 -149.680909
"Alcatraz" 	49.3207133 -123.0737831
"Alcatraz" 	37.71402905 -122.30779415179862
"Alcatraz" 	37.8021689 -122.4029913
"Alcatraz" 	37.71402905 -122.30779415179862
"Alcatraz" 	37.7790262 -122.4199061
"Alcatraz" 	49.2608724 -123.1139529
"Alcatraz" 	34.0536909 -118.2427666
"Alec in WILDerland" 	39.7837304 -100.4458825
"Alec in WILDerland" 	43.1700264 -107.5685348
"Alec in WILDerland" 	44.6471761 -100.348761
"Alec in WILDerland" 	40.7127281 -74.0060152
"Alec in WILDerland" 	39.7837304 -100.4458825
"Alec in WILDerland" 	43.4849133 -71.6553992
"Alec in WILDerland" 	41.7962409 -71.5992372
"Alec in WILDerland" 	37.1232245 -78.4927721
"Alec in WILDerland" 	39.7837304 -100.4458825
"Alec in WILDerland" 	24.5625566 -81.7724368
"Alec in WILDerland" 	-22.1646782 144.5844903
"Alec in WILDerland" 	-22.1646782 144.5844903
"Alec in WILDerland" 	-22.1646782 144.5844903
"Alec in WILDerland" 	31.8160381 -99.5120986
"Alec in WILDerland" 	31.8160381 -99.5120986
"Alec in WILDerland" 	31.8160381 -99.5120986
"Alec in WILDerland" 	31.8160381 -99.5120986
"Alec in WILDerland" 	39.7837304 -100.4458825
"Alec in WILDerland" 	28.06229905 -97.87751214715605
"Alec in WILDerland" 	39.7837304 -100.4458825
"Alec in WILDerland" 	31.8160381 -99.5120986
"Alec in WILDerland" 	28.15467035 -97.9253498656267
"Alec in WILDerland" 	31.8160381 -99.5120986
"Alec in WILDerland" 	29.82092645 -99.58750091507014
"Alec in WILDerland" 	34.9550817 -97.2684063
"Alec in WILDerland" 	34.9550817 -97.2684063
"Alec in WILDerland" 	31.8160381 -99.5120986
"Alec in WILDerland" 	31.8160381 -99.5120986
"Alec in WILDerland" 	-33.0191604 27.8998573
"Alec in WILDerland" 	-28.8166236 24.991639
"Alec in WILDerland" 	30.490411 -99.7590887
"Alec in WILDerland" 	36.7014631 -118.7559974
"Alec in WILDerland" 	38.8948932 -77.0365529
"Alec in WILDerland" 	38.8948932 -77.0365529
"Alien Encounters" 	36.9225615 -121.8517849
"Alien Encounters" 	34.4221319 -119.7026673
"Alien Encounters" 	42.3869382 -72.52991477067445
"Alien Encounters" 	34.163011 -118.4697788
"Alien Encounters" 	55.8618812 -4.241956565778082
"Alien Encounters" 	33.42152185 -111.93316158417922
"Alien Watch" 	29.7589382 -95.3676974
"All About Lizzie" 	34.093214 -118.3196124
"All About Lizzie" 	34.0250724 -118.4965129
"All About Lizzie" 	34.0536909 -118.2427666
"All About Lizzie" 	34.0923014 -118.3692894
"All in the Method" 	51.3713049 -0.101957
"All in the Method" 	51.392296 -0.5038294
"All in the Method" 	51.5073219 -0.1276474
"All in the Method" 	51.3713049 -0.101957
"All-Star Dealers" 	34.0536909 -118.2427666
"All-Star Dealers" 	40.7127281 -74.0060152
"All-Star Dealers" 	39.7837304 -100.4458825
"All-Star Dealers" 	33.7490987 -84.3901849
"All-Star Dealers" 	34.395342 -111.7632755
"Allenby St." 	32.0804808 34.7805274
"Allenby St." 	32.0613828 34.7737223
"Alles Klara" 	51.7855428 11.1519933
"Alles Klara" 	51.820889699999995 10.970734095893887
"All� Te Espero" 	2.8894434 -73.783892
"All� Te Espero" 	40.7127281 -74.0060152
"All� Te Espero" 	2.8894434 -73.783892
"Almost Famous: The Series" 	34.0536909 -118.2427666
"Almost Married" 	40.7127281 -74.0060152
"Almost Married" 	33.7490987 -84.3901849
"Almost Married" 	8.0300284 -1.0800271
"Almost Married" 	20.802956799999997 -156.31068331602177
"Almost There" 	50.6402809 4.6667145
"Aloha: The Paige Hurd Show" 	34.0536909 -118.2427666
"Alouette" 	29.9499323 -90.0701156
"Alt for Danmark" 	39.7837304 -100.4458825
"Alt for Danmark" 	55.670249 10.3333283
"Amateur Hour" 	41.1536674 -81.357886
"Amaz�nia" 	-10.3333333 -53.2
"Amb filosofia" 	41.369539 1.7958503
"America Unearthed" 	32.8923464 -96.4066987
"America\'s Elite" 	34.0536909 -118.2427666
"America\'s Elite" 	38.8339578 -104.8253485
"America\'s Elite" 	29.7589382 -95.3676974
"America\'s Elite" 	36.1672559 -115.1485163
"America\'s Elite" 	40.7127281 -74.0060152
"America\'s Money Class with Suze Orman" 	34.0536909 -118.2427666
"America\'s Next President" 	40.0757384 -74.4041622
"America\'s Next President" 	39.9527237 -75.1635262
"American Candy" 	40.714622 -73.95345
"American Chainsaw" 	42.1417641 -71.3967256
"American Chainsaw" 	42.3602534 -71.0582912
"American Chainsaw" 	42.5195292 -70.8967226
"American Chainsaw" 	42.9956397 -71.4547891
"American Chainsaw" 	42.2625932 -71.8022934
"American Colony: Meet the Hutterites" 	47.0558045 -109.6371317
"American DeTour" 	39.100105 -94.5781416
"American DeTour" 	38.4108631 -92.5293537
"American DeTour" 	38.4108631 -92.5293537
"American Dog with Victoria Stilwell" 	33.9562149 -83.9879625
"American Nature" 	35.81102455 -118.4075129459604
"American Riviera Television" 	34.4221319 -119.7026673
"American Riviera" 	34.4221319 -119.7026673
"Americas Superwoma	34.0536909 -118.2427666
"Amish Mafia" 	40.08067 -76.2411283
"Amish Mafia" 	37.2921203 -85.8845579
"Amish Mafia" 	40.5840117 -81.9304045
"Amish Mafia" 	40.08067 -76.2411283
"Amish Mafia" 	40.0098226 -76.1285655
"Amish Mafia" 	48.23251 -101.296273
"Amish Mafia" 	41.3160082 -91.7340327
"Amish Mafia" 	40.9699889 -77.7278831
"Amish Mafia" 	27.3250465 -82.4912075
"Amish Mafia" 	27.3364347 -82.5306527
"Amish Mafia" 	40.08067 -76.2411283
"Amish Mafia" 	40.08067 -76.2411283
"Amish Mafia" 	40.375713 -76.4626118
"Amish Mafia" 	40.08067 -76.2411283
"Amor brav�o" 	19.4326296 -99.1331785
"Amor brav�o" 	19.34476565 -99.20394733773142
"Amor brav�o" 	19.5394576 -99.0351938
"Amor brav�o" 	-33.4377968 -70.6504451
"Amores de historia" 	-34.9964963 -64.9672817
"Amores de historia" 	-34.9964963 -64.9672817
"Amores de historia" 	-34.9964963 -64.9672817
"Amores de historia" 	-34.9964963 -64.9672817
"Amores de historia" 	-34.9964963 -64.9672817
"Amores de historia" 	-34.9964963 -64.9672817
"Amores de historia" 	-34.9964963 -64.9672817
"Amores de historia" 	-34.9964963 -64.9672817
"Amores de historia" 	-34.9964963 -64.9672817
"Amores de historia" 	-34.9964963 -64.9672817
"Amores de historia" 	-34.9964963 -64.9672817
"Amores de historia" 	-34.9964963 -64.9672817
"Amores de historia" 	-34.9964963 -64.9672817
"Amores verdaderos" 	19.34476565 -99.20394733773142
"Amores verdaderos" 	19.4326296 -99.1331785
"Amores verdaderos" 	19.166667 -104.0
"Amores verdaderos" 	40.7127281 -74.0060152
"Amores verdaderos" 	25.7742658 -80.1936589
"An Actors Diary" 	34.093214 -118.3196124
"An Emotional Story" 	34.5959265 -92.4890469
"An Espresso with Vito" 	43.653963 -79.387207
"An Evil Man" 	48.6084636 9.0983623
"Ananda" 	27.02801615 70.7785056232077
"Ander Egg" 	-34.9964963 -64.9672817
"Andra Sidan EM" 	59.6749712 14.5208584
"Andrrat" 	42.5869578 20.9021231
"Anger Management" 	34.0536909 -118.2427666
"Anna German" 	52.2337172 21.07141112883227
"Anna German" 	51.1263106 16.97819633051261
"Anna in a Minute" 	51.5140093 -0.1317206
"Anna in a Minute" 	51.5131628 -0.1311754
"Anna in a Minute" 	51.5105992 -0.1308565
"Anna in a Minute" 	51.5710783 0.0064237
"Anna in a Minute" 	51.5186227 -0.0620807
"Anna in a Minute" 	51.5073219 -0.1276474
"Anna in a Minute" 	51.5195274 -0.0751701
"Anna in a Minute" 	51.51936325 -0.0742915773033235
"Anna in a Minute" 	51.5109351 -0.11810937305828895
"Another Kind of Hero" 	31.7754152 -106.4646348
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
"Antes que sea tarde" 	-34.9964963 -64.9672817
